A,B,,C,D,E,F,G,H
0,-18.4806654588768,,0,-20.4785701813102,0,-20.4785701813102,0,-20.4785701813102
1,-18.4806654588768,,0,-20.4773929451554,0,-20.4773929451554,0,-20.4773929451554
0,1E+308,,0,-20.4762157090007,0,-20.4762157090007,0,-20.4762157090007
0,-18.3956570971352,,0,-20.4750384728459,0,-20.4750384728459,0,-20.4750384728459
1,-18.3956570971352,,0,-20.4738612366912,0,-20.4738612366912,0,-20.4738612366912
0,1E+308,,0,-20.4726840005364,0,-20.4726840005364,0,-20.4726840005364
0,-18.224687975233,,0,-20.4715067643817,0,-20.4715067643817,0,-20.4715067643817
1,-18.224687975233,,0,-20.4703295282269,0,-20.4703295282269,0,-20.4703295282269
0,1E+308,,0,-20.4691522920722,0,-20.4691522920722,0,-20.4691522920722
0,-18.1706461678006,,0,-20.4679750559174,0,-20.4679750559174,0,-20.4679750559174
1,-18.1706461678006,,0,-20.4667978197627,0,-20.4667978197627,0,-20.4667978197627
0,1E+308,,0,-20.4656205836079,0,-20.4656205836079,0,-20.4656205836079
0,-18.1087130591822,,0,-20.4644433474532,0,-20.4644433474532,0,-20.4644433474532
1,-18.1087130591822,,0,-20.4632661112984,0,-20.4632661112984,0,-20.4632661112984
0,1E+308,,0,-20.4620888751437,0,-20.4620888751437,0,-20.4620888751437
0,-17.9305057092956,,0,-20.4609116389889,0,-20.4609116389889,0,-20.4609116389889
1,-17.9305057092956,,0,-20.4597344028342,0,-20.4597344028342,0,-20.4597344028342
0,1E+308,,0,-20.4585571666794,0,-20.4585571666794,0,-20.4585571666794
0,-17.9250634326156,,0,-20.4573799305247,0,-20.4573799305247,0,-20.4573799305247
1,-17.9250634326156,,0,-20.4562026943699,0,-20.4562026943699,0,-20.4562026943699
0,1E+308,,0,-20.4550254582152,0,-20.4550254582152,0,-20.4550254582152
0,-17.7721898806744,,0,-20.4538482220605,0,-20.4538482220605,0,-20.4538482220605
1,-17.7721898806744,,0,-20.4526709859057,0,-20.4526709859057,0,-20.4526709859057
0,1E+308,,0,-20.451493749751,0,-20.451493749751,0,-20.451493749751
0,-17.7706388318206,,0,-20.4503165135962,0,-20.4503165135962,0,-20.4503165135962
